Player Name,From Year,To Year,Position,Height,Weight,Birth Date,Player URL
Rollie Seltz,1950,1950,G-F,5-10,165,"January 25, 1924",https://www.basketball-reference.com/players/s/seltzro01.html
Les Selvage,1968,1970,G,6-1,175,"March 7, 1943",https://www.basketball-reference.com/players/s/selvale01.html
Frank Selvy,1955,1964,G-F,6-3,180,"November 9, 1932",https://www.basketball-reference.com/players/s/selvyfr01.html
Jim Seminoff,1947,1950,G-F,6-2,190,"September 1, 1922",https://www.basketball-reference.com/players/s/seminji01.html
Mouhamed Sene,2007,2009,C-F,6-11,230,"May 12, 1986",https://www.basketball-reference.com/players/s/senesa01.html
George Senesky,1947,1954,G,6-2,179,"April 4, 1922",https://www.basketball-reference.com/players/s/senesge01.html
Alperen Sengun,2022,2024,C-F,6-11,235,"July 25, 2002",https://www.basketball-reference.com/players/s/sengual01.html
Brice Sensabaugh,2024,2024,F,6-6,235,"October 30, 2003",https://www.basketball-reference.com/players/s/sensabr01.html
Kevin Séraphin,2011,2017,F,6-9,285,"December 7, 1989",https://www.basketball-reference.com/players/s/serapke01.html
Ansu Sesay,2002,2005,F,6-9,225,"July 29, 1976",https://www.basketball-reference.com/players/s/sesayan01.html
Ramon Sessions,2008,2018,G,6-3,190,"April 11, 1986",https://www.basketball-reference.com/players/s/sessira01.html
Ha Seung-Jin,2005,2006,C,7-3,305,"August 4, 1985",https://www.basketball-reference.com/players/s/seungha01.html
Tom Sewell,1985,1985,G,6-5,185,"March 11, 1962",https://www.basketball-reference.com/players/s/sewelto01.html
Collin Sexton,2019,2024,G,6-3,190,"January 4, 1999",https://www.basketball-reference.com/players/s/sextoco01.html
Paul Seymour,1948,1960,G-F,6-1,180,"January 30, 1928",https://www.basketball-reference.com/players/s/seymopa01.html
Nick Shaback,1947,1947,G,5-11,180,"September 10, 1918",https://www.basketball-reference.com/players/s/shabani01.html
Lynn Shackelford,1970,1970,F,6-5,190,"August 27, 1947",https://www.basketball-reference.com/players/s/shackly01.html
Charles Shackleford,1989,1999,F-C,6-10,225,"April 22, 1966",https://www.basketball-reference.com/players/s/shackch01.html
Carl Shaeffer,1950,1951,F-G,6-3,185,"October 25, 1924",https://www.basketball-reference.com/players/s/shaefca01.html
Lee Shaffer,1962,1964,F,6-7,220,"February 23, 1939",https://www.basketball-reference.com/players/s/shaffle01.html
Mustafa Shakur,2011,2014,G,6-3,190,"August 18, 1984",https://www.basketball-reference.com/players/s/shakumu01.html
Landry Shamet,2019,2024,G,6-4,190,"March 13, 1997",https://www.basketball-reference.com/players/s/shamela01.html
God Shammgod,1998,1998,G,6-0,169,"April 29, 1976",https://www.basketball-reference.com/players/s/shammgo01.html
Earl Shannon,1947,1949,G-F,5-11,170,"November 23, 1921",https://www.basketball-reference.com/players/s/shannea01.html
Howie Shannon,1949,1950,G-F,6-2,175,"June 10, 1923",https://www.basketball-reference.com/players/s/shannho01.html
Chuck Share,1952,1960,C,6-11,235,"March 14, 1927",https://www.basketball-reference.com/players/s/sharech01.html
Bill Sharman,1951,1961,G,6-1,175,"May 25, 1926",https://www.basketball-reference.com/players/s/sharmbi01.html
Day'Ron Sharpe,2022,2024,C,6-11,265,"November 6, 2001",https://www.basketball-reference.com/players/s/sharpda01.html
Shaedon Sharpe,2023,2024,G,6-6,200,"May 30, 2003",https://www.basketball-reference.com/players/s/sharpsh01.html
Walter Sharpe,2009,2009,F,6-9,245,"July 18, 1986",https://www.basketball-reference.com/players/s/sharpwa01.html
John Shasky,1989,1991,C,6-11,235,"July 31, 1964",https://www.basketball-reference.com/players/s/shaskjo01.html
Ron Shavlik,1957,1958,F,6-8,200,"December 4, 1933",https://www.basketball-reference.com/players/s/shavlro01.html
Brian Shaw,1989,2003,G,6-6,190,"March 22, 1966",https://www.basketball-reference.com/players/s/shawbr01.html
Casey Shaw,1999,1999,C,6-11,260,"July 20, 1975",https://www.basketball-reference.com/players/s/shawca01.html
Marial Shayok,2020,2020,G,6-5,198,"July 26, 1995",https://www.basketball-reference.com/players/s/shayoma01.html
Bob Shea,1947,1947,F,6-2,194,"September 11, 1924",https://www.basketball-reference.com/players/s/sheabo01.html
Fred Sheffield,1947,1947,F,6-2,165,"November 5, 1923",https://www.basketball-reference.com/players/s/shefffr01.html
Craig Shelton,1981,1982,F,6-7,210,"May 1, 1957",https://www.basketball-reference.com/players/s/sheltcr01.html
Lonnie Shelton,1977,1986,F-C,6-8,240,"October 19, 1955",https://www.basketball-reference.com/players/s/sheltlo01.html
Tornike Shengelia,2013,2014,F,6-9,217,"October 5, 1991",https://www.basketball-reference.com/players/s/shengto01.html
Billy Shepherd,1973,1975,G,5-10,160,"November 18, 1949",https://www.basketball-reference.com/players/s/shephbi01.html
Ben Sheppard,2024,2024,G,6-6,190,"July 16, 2001",https://www.basketball-reference.com/players/s/sheppbe01.html
Jeff Sheppard,1999,1999,G,6-3,190,"September 29, 1974",https://www.basketball-reference.com/players/s/sheppje01.html
Steve Sheppard,1978,1979,F,6-6,215,"March 21, 1954",https://www.basketball-reference.com/players/s/sheppst01.html
Ed Sherod,1983,1983,G,6-2,170,"September 13, 1959",https://www.basketball-reference.com/players/s/sheroed01.html
Charley Shipp,1950,1950,G-F,6-1,200,"December 3, 1913",https://www.basketball-reference.com/players/s/shippch01.html
Paul Shirley,2003,2005,F-C,6-10,230,"December 23, 1977",https://www.basketball-reference.com/players/s/shirlpa01.html
Gene Short,1976,1976,F,6-6,200,"August 7, 1953",https://www.basketball-reference.com/players/s/shortge01.html
Purvis Short,1979,1990,F-G,6-7,210,"July 2, 1957",https://www.basketball-reference.com/players/s/shortpu01.html
Dexter Shouse,1990,1990,G,6-2,200,"March 24, 1963",https://www.basketball-reference.com/players/s/shousde01.html
Dick Shrider,1949,1949,G,6-2,190,"February 7, 1923",https://www.basketball-reference.com/players/s/shriddi01.html
Gene Shue,1955,1964,G,6-2,170,"December 18, 1931",https://www.basketball-reference.com/players/s/shuege01.html
John Shumate,1976,1981,F-C,6-9,235,"April 6, 1952",https://www.basketball-reference.com/players/s/shumajo01.html
Iman Shumpert,2012,2021,G,6-5,215,"June 26, 1990",https://www.basketball-reference.com/players/s/shumpim01.html
Alexey Shved,2013,2015,G,6-6,190,"December 16, 1988",https://www.basketball-reference.com/players/s/shvedal01.html
Pascal Siakam,2017,2024,F-C,6-8,230,"April 2, 1994",https://www.basketball-reference.com/players/s/siakapa01.html
Jordan Sibert,2019,2019,G,6-4,187,"August 1, 1992",https://www.basketball-reference.com/players/s/siberjo01.html
Sam Sibert,1973,1973,F,6-7,215,"February 11, 1949",https://www.basketball-reference.com/players/s/sibersa01.html
Mark Sibley,1974,1974,G,6-2,175,"November 13, 1950",https://www.basketball-reference.com/players/s/siblema01.html
Jerry Sichting,1981,1990,G,6-1,168,"November 29, 1956",https://www.basketball-reference.com/players/s/sichtje01.html
Don Sidle,1969,1972,F-C,6-8,215,"June 21, 1946",https://www.basketball-reference.com/players/s/sidledo01.html
Larry Siegfried,1964,1972,F,6-3,190,"May 22, 1939",https://www.basketball-reference.com/players/s/siegfla01.html
Ralph Siewert,1947,1947,C,7-1,230,"December 31, 1923",https://www.basketball-reference.com/players/s/siewera01.html
Jack Sikma,1978,1991,C-F,6-11,230,"November 14, 1955",https://www.basketball-reference.com/players/s/sikmaja01.html
James Silas,1973,1982,G,6-1,180,"February 11, 1949",https://www.basketball-reference.com/players/s/silasja01.html
Paul Silas,1965,1980,F-C,6-7,220,"July 12, 1943",https://www.basketball-reference.com/players/s/silaspa01.html
Xavier Silas,2012,2018,G,6-5,205,"January 22, 1988",https://www.basketball-reference.com/players/s/silasxa01.html
Garret Siler,2011,2011,C,6-11,305,"October 25, 1986",https://www.basketball-reference.com/players/s/silerga01.html
Mike Silliman,1971,1971,F,6-6,225,"May 5, 1944",https://www.basketball-reference.com/players/s/sillimi01.html
Chris Silva,2020,2023,F,6-8,234,"September 19, 1996",https://www.basketball-reference.com/players/s/silvach01.html
Wayne Simien,2006,2007,F,6-9,255,"March 9, 1983",https://www.basketball-reference.com/players/s/simiewa01.html
Ben Simmons,2018,2024,G-F,6-10,240,"July 20, 1996",https://www.basketball-reference.com/players/s/simmobe01.html
Bobby Simmons,2002,2012,G-F,6-7,210,"June 2, 1980",https://www.basketball-reference.com/players/s/simmobo01.html
Cedric Simmons,2007,2009,F,6-9,235,"January 3, 1986",https://www.basketball-reference.com/players/s/simmoce01.html
Connie Simmons,1947,1956,C-F,6-8,222,"March 15, 1925",https://www.basketball-reference.com/players/s/simmoco01.html
Grant Simmons,1968,1969,G,6-3,190,"March 7, 1943",https://www.basketball-reference.com/players/s/simmogr01.html
Johnny Simmons,1947,1947,G,6-1,184,"July 7, 1924",https://www.basketball-reference.com/players/s/simmojo01.html
Jonathon Simmons,2016,2019,G-F,6-6,195,"September 14, 1989",https://www.basketball-reference.com/players/s/simmojo02.html
Kobi Simmons,2018,2024,G,6-5,166,"July 4, 1997",https://www.basketball-reference.com/players/s/simmoko01.html
Lionel Simmons,1991,1997,F-G,6-7,210,"November 14, 1968",https://www.basketball-reference.com/players/s/simmoli01.html
Miles Simon,1999,1999,G,6-3,202,"November 21, 1975",https://www.basketball-reference.com/players/s/simonmi01.html
Walt Simon,1968,1974,F-G,6-6,200,"December 1, 1939",https://www.basketball-reference.com/players/s/simonwa01.html
Marko Simonovic,2022,2023,C,6-11,216,"October 15, 1999",https://www.basketball-reference.com/players/s/simonma01.html
Anfernee Simons,2019,2024,G,6-3,181,"June 8, 1999",https://www.basketball-reference.com/players/s/simonan01.html
Dickey Simpkins,1995,2002,F,6-9,248,"April 6, 1972",https://www.basketball-reference.com/players/s/simpkdi01.html
Ralph Simpson,1971,1980,G-F,6-5,200,"August 10, 1949",https://www.basketball-reference.com/players/s/simpsra01.html
Zavier Simpson,2022,2024,G,6-0,190,"February 11, 1997",https://www.basketball-reference.com/players/s/simpsza01.html
Alvin Sims,1999,1999,G,6-4,235,"October 18, 1974",https://www.basketball-reference.com/players/s/simsal01.html
Bob Sims,1962,1968,G-F,6-5,220,"October 9, 1938",https://www.basketball-reference.com/players/s/simsbo01.html
Courtney Sims,2008,2009,C,6-10,245,"October 21, 1983",https://www.basketball-reference.com/players/s/simsco01.html
Doug Sims,1969,1969,F,6-7,195,"June 29, 1943",https://www.basketball-reference.com/players/s/simsdo01.html
Henry Sims,2013,2016,C,6-10,248,"March 27, 1990",https://www.basketball-reference.com/players/s/simshe01.html
Jericho Sims,2022,2024,F,6-10,245,"October 20, 1998",https://www.basketball-reference.com/players/s/simsje01.html
Scott Sims,1978,1978,G,6-1,170,"April 18, 1955",https://www.basketball-reference.com/players/s/simssc01.html
Kyle Singler,2013,2018,F,6-8,228,"May 4, 1988",https://www.basketball-reference.com/players/s/singlky01.html
Sean Singletary,2009,2009,G,6-0,185,"September 6, 1985",https://www.basketball-reference.com/players/s/singlse01.html
Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",https://www.basketball-reference.com/players/s/singlch01.html
James Singleton,2006,2012,F,6-8,216,"July 20, 1981",https://www.basketball-reference.com/players/s/singlja01.html
McKinley Singleton,1987,1987,G,6-5,175,"October 29, 1961",https://www.basketball-reference.com/players/s/singlmc01.html
Zeke Sinicola,1952,1954,G,5-10,165,"January 25, 1929",https://www.basketball-reference.com/players/s/sinicze01.html
Deividas Sirvydis,2021,2022,G-F,6-8,190,"June 10, 2000",https://www.basketball-reference.com/players/s/sirvyde01.html
Charlie Sitton,1985,1985,F,6-8,210,"July 3, 1962",https://www.basketball-reference.com/players/s/sittoch01.html
Peyton Siva,2014,2014,G,6-0,185,"October 24, 1990",https://www.basketball-reference.com/players/s/sivape01.html
Dmytro Skapintsev,2024,2024,C,7-1,260,"May 12, 1998",https://www.basketball-reference.com/players/s/skapidm01.html
Scott Skiles,1987,1996,G,6-1,180,"March 5, 1964",https://www.basketball-reference.com/players/s/skilesc01.html
Al Skinner,1975,1980,G,6-3,190,"June 16, 1952",https://www.basketball-reference.com/players/s/skinnal01.html
Brian Skinner,1999,2012,F,6-9,255,"May 19, 1976",https://www.basketball-reference.com/players/s/skinnbr01.html
Tal Skinner,1975,1976,F-G,6-5,195,"September 10, 1952",https://www.basketball-reference.com/players/s/skinnta01.html
Whitey Skoog,1952,1957,G,5-11,180,"November 2, 1926",https://www.basketball-reference.com/players/s/skoogwh01.html
Jeff Slade,1963,1963,F,6-6,220,"March 1, 1941",https://www.basketball-reference.com/players/s/sladeje01.html
Reggie Slater,1995,2003,F,6-7,215,"August 27, 1970",https://www.basketball-reference.com/players/s/slatere01.html
Jim Slaughter,1952,1952,C,6-11,210,"May 13, 1928",https://www.basketball-reference.com/players/s/slaugji01.html
Jose Slaughter,1983,1983,G,6-5,205,"September 9, 1960",https://www.basketball-reference.com/players/s/slaugjo01.html
Jalen Slawson,2024,2024,F,6-7,215,"October 22, 1999",https://www.basketball-reference.com/players/s/slawsja01.html
Tamar Slay,2003,2005,G,6-8,215,"April 2, 1980",https://www.basketball-reference.com/players/s/slayta01.html
Donald Sloan,2012,2016,G,6-3,205,"January 15, 1988",https://www.basketball-reference.com/players/s/sloando01.html
Jerry Sloan,1966,1976,G-F,6-5,195,"March 28, 1942",https://www.basketball-reference.com/players/s/sloanje01.html
Uroš Slokar,2007,2007,F,6-10,238,"May 14, 1983",https://www.basketball-reference.com/players/s/slokaur01.html
Tom Sluby,1985,1985,G,6-4,200,"February 18, 1962",https://www.basketball-reference.com/players/s/slubyto01.html
Alen Smailagić,2020,2021,F,6-10,215,"August 18, 2000",https://www.basketball-reference.com/players/s/smailal01.html
Javonte Smart,2022,2024,G,6-4,205,"June 3, 1999",https://www.basketball-reference.com/players/s/smartja01.html
Keith Smart,1989,1989,G,6-1,175,"September 21, 1964",https://www.basketball-reference.com/players/s/smartke01.html
Marcus Smart,2015,2024,G,6-3,220,"March 6, 1994",https://www.basketball-reference.com/players/s/smartma01.html
Belus Smawley,1947,1952,G-F,6-1,195,"March 20, 1918",https://www.basketball-reference.com/players/s/smawlbe01.html
Jack Smiley,1949,1950,F-G,6-3,190,"December 22, 1922",https://www.basketball-reference.com/players/s/smileja01.html
Adrian Smith,1962,1972,G,6-1,180,"October 5, 1936",https://www.basketball-reference.com/players/s/smithad01.html
Al Smith,1972,1976,G,6-1,185,"January 15, 1947",https://www.basketball-reference.com/players/s/smithal01.html
Bill Smith,1962,1962,G-F,6-5,190,"April 26, 1939",https://www.basketball-reference.com/players/s/smithbi01.html
Bingo Smith,1970,1980,F-G,6-5,195,"February 26, 1946",https://www.basketball-reference.com/players/s/smithbi02.html
Bobby Smith,1960,1962,G,6-4,190,"August 20, 1937",https://www.basketball-reference.com/players/s/smithbo01.html
Charles Smith,1989,1997,F-C,6-10,230,"July 16, 1965",https://www.basketball-reference.com/players/s/smithch01.html
Charles Smith,1990,1996,G,6-1,160,"November 29, 1967",https://www.basketball-reference.com/players/s/smithch02.html
Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",https://www.basketball-reference.com/players/s/smithch04.html
Chris Smith,1993,1995,G,6-3,190,"May 17, 1970",https://www.basketball-reference.com/players/s/smithch03.html
Chris Smith,2014,2014,G,6-2,200,"October 13, 1987",https://www.basketball-reference.com/players/s/smithch05.html
Clinton Smith,1987,1991,F,6-6,210,"January 19, 1964",https://www.basketball-reference.com/players/s/smithcl01.html
Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",https://www.basketball-reference.com/players/s/smithcr01.html
Deb Smith,1947,1947,F,6-3,180,"January 7, 1920",https://www.basketball-reference.com/players/s/smithde01.html
Dennis Smith Jr.,2018,2024,G,6-2,205,"November 25, 1997",https://www.basketball-reference.com/players/s/smithde03.html
Derek Smith,1983,1991,G-F,6-6,205,"November 1, 1961",https://www.basketball-reference.com/players/s/smithde02.html
Don Smith,1949,1949,G-F,6-2,190,"July 27, 1920",https://www.basketball-reference.com/players/s/smithdo01.html
Don Smith,1975,1975,G,6-0,160,"October 10, 1951",https://www.basketball-reference.com/players/s/smithdo02.html
Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",https://www.basketball-reference.com/players/s/smithdo04.html
Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",https://www.basketball-reference.com/players/s/smithdo03.html
Dru Smith,2023,2024,G,6-3,203,"December 30, 1997",https://www.basketball-reference.com/players/s/smithdr01.html
Ed Smith,1954,1954,F,6-6,180,"July 5, 1929",https://www.basketball-reference.com/players/s/smithed01.html
Elmore Smith,1972,1979,C,7-0,250,"May 9, 1949",https://www.basketball-reference.com/players/s/smithel01.html
Garfield Smith,1971,1973,C-F,6-9,235,"November 18, 1945",https://www.basketball-reference.com/players/s/smithga01.html
Greg Smith,1969,1976,F,6-5,195,"January 28, 1947",https://www.basketball-reference.com/players/s/smithgr01.html
Greg Smith,2012,2016,C,6-10,250,"January 8, 1991",https://www.basketball-reference.com/players/s/smithgr02.html
Ish Smith,2011,2024,G,6-0,175,"July 5, 1988",https://www.basketball-reference.com/players/s/smithis01.html
J.R. Smith,2005,2020,G-F,6-6,225,"September 9, 1985",https://www.basketball-reference.com/players/s/smithjr01.html
Jabari Smith,2001,2005,C,6-11,250,"February 12, 1977",https://www.basketball-reference.com/players/s/smithja01.html
Jabari Smith Jr.,2023,2024,F,6-11,220,"May 13, 2003",https://www.basketball-reference.com/players/s/smithja05.html
Jalen Smith,2021,2024,F,6-10,215,"March 16, 2000",https://www.basketball-reference.com/players/s/smithja04.html
Jason Smith,2008,2019,F-C,7-0,240,"March 2, 1986",https://www.basketball-reference.com/players/s/smithja02.html
Jerry Smith,2012,2012,G,6-2,190,"September 26, 1987",https://www.basketball-reference.com/players/s/smithje01.html
Jim Smith,1982,1983,F,6-9,225,"April 12, 1958",https://www.basketball-reference.com/players/s/smithji01.html
Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",https://www.basketball-reference.com/players/s/smithjo02.html
John Smith,1969,1970,C,7-0,235,"May 24, 1944",https://www.basketball-reference.com/players/s/smithjo01.html
Josh Smith,2005,2018,F,6-9,225,"December 5, 1985",https://www.basketball-reference.com/players/s/smithjo03.html
Keith Smith,1987,1987,G,6-3,180,"March 9, 1964",https://www.basketball-reference.com/players/s/smithke03.html
Ken Smith,1976,1976,F,6-7,185,"July 12, 1953",https://www.basketball-reference.com/players/s/smithke02.html
Kenny Smith,1988,1997,G,6-3,170,"March 8, 1965",https://www.basketball-reference.com/players/s/smithke01.html
LaBradford Smith,1992,1994,G,6-3,200,"April 3, 1969",https://www.basketball-reference.com/players/s/smithla02.html
Larry Smith,1981,1993,F-C,6-8,215,"January 18, 1958",https://www.basketball-reference.com/players/s/smithla01.html
Leon Smith,2002,2004,C,6-10,235,"November 2, 1980",https://www.basketball-reference.com/players/s/smithle01.html
Michael Smith,1990,1995,F,6-10,225,"May 19, 1965",https://www.basketball-reference.com/players/s/smithmi01.html
Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",https://www.basketball-reference.com/players/s/smithmi02.html
Mike Smith,2001,2001,F,6-8,195,"April 15, 1976",https://www.basketball-reference.com/players/s/smithmi03.html
Nick Smith Jr.,2024,2024,G,6-5,185,"April 18, 2004",https://www.basketball-reference.com/players/s/smithni01.html
Nolan Smith,2012,2013,G,6-2,185,"July 25, 1988",https://www.basketball-reference.com/players/s/smithno01.html
Otis Smith,1987,1992,G-F,6-5,210,"January 30, 1964",https://www.basketball-reference.com/players/s/smithot01.html
Pete Smith,1973,1973,F,6-6,205,,https://www.basketball-reference.com/players/s/smithpe01.html
Phil Smith,1975,1983,G,6-4,185,"April 22, 1952",https://www.basketball-reference.com/players/s/smithph01.html
Randy Smith,1972,1983,G-F,6-3,180,"December 12, 1948",https://www.basketball-reference.com/players/s/smithra01.html
Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",https://www.basketball-reference.com/players/s/smithre01.html
Robert Smith,1978,1985,G,5-11,165,"March 10, 1955",https://www.basketball-reference.com/players/s/smithro01.html
Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",https://www.basketball-reference.com/players/s/smithru01.html
Sam Smith,1968,1971,F,6-7,230,"January 27, 1944",https://www.basketball-reference.com/players/s/smithsa01.html
Sam Smith,1979,1980,G,6-4,200,"January 8, 1955",https://www.basketball-reference.com/players/s/smithsa02.html
Steve Smith,1992,2005,G,6-8,200,"March 31, 1969",https://www.basketball-reference.com/players/s/smithst01.html
Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",https://www.basketball-reference.com/players/s/smithst03.html
Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",https://www.basketball-reference.com/players/s/smithst02.html
Terquavion Smith,2024,2024,G,6-4,165,"December 31, 2002",https://www.basketball-reference.com/players/s/smithte01.html
Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",https://www.basketball-reference.com/players/s/smithth01.html
Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",https://www.basketball-reference.com/players/s/smithto02.html
William Smith,1972,1973,C,7-0,220,"February 14, 1949",https://www.basketball-reference.com/players/s/smithwi01.html
Willie Smith,1977,1980,G,6-2,170,"October 26, 1953",https://www.basketball-reference.com/players/s/smithwi02.html
Zhaire Smith,2019,2020,G,6-3,205,"June 4, 1999",https://www.basketball-reference.com/players/s/smithzh01.html
Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",https://www.basketball-reference.com/players/s/smitsri01.html
Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",https://www.basketball-reference.com/players/s/smrekmi01.html
Joe Smyth,1954,1954,F,6-3,215,"May 22, 1929",https://www.basketball-reference.com/players/s/smythjo01.html
Xavier Sneed,2022,2023,F,6-5,215,"December 21, 1997",https://www.basketball-reference.com/players/s/sneedxa01.html
Tony Snell,2014,2022,G-F,6-6,213,"November 10, 1991",https://www.basketball-reference.com/players/s/snellto01.html
Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",https://www.basketball-reference.com/players/s/snower01.html
Dick Snyder,1967,1979,G-F,6-5,207,"February 1, 1944",https://www.basketball-reference.com/players/s/snydedi01.html
Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983",https://www.basketball-reference.com/players/s/snydeki01.html
Chips Sobek,1950,1950,G-F,6-0,180,"February 10, 1920",https://www.basketball-reference.com/players/s/sobekch01.html
Ricky Sobers,1976,1986,G,6-3,198,"January 15, 1953",https://www.basketball-reference.com/players/s/soberri01.html
Ron Sobie,1957,1960,G,6-3,185,"September 21, 1934",https://www.basketball-reference.com/players/s/sobiero01.html
Jeremy Sochan,2023,2024,F-G,6-8,230,"May 20, 2003",https://www.basketball-reference.com/players/s/sochaje01.html
Mike Sojourner,1975,1977,C-F,6-9,225,"October 16, 1953",https://www.basketball-reference.com/players/s/sojoumi01.html
Willie Sojourner,1972,1975,C-F,6-8,225,"September 10, 1948",https://www.basketball-reference.com/players/s/sojouwi01.html
Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",https://www.basketball-reference.com/players/s/solomwi01.html
Willie Somerset,1966,1969,G,5-8,170,"March 17, 1942",https://www.basketball-reference.com/players/s/somerwi01.html
Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",https://www.basketball-reference.com/players/s/songada01.html
Dave Sorenson,1971,1973,F,6-8,225,"July 8, 1948",https://www.basketball-reference.com/players/s/sorenda01.html
James Southerland,2014,2014,F,6-8,215,"April 28, 1990",https://www.basketball-reference.com/players/s/southja01.html
Gino Sovran,1947,1947,F-G,6-2,175,"December 17, 1924",https://www.basketball-reference.com/players/s/sovragi01.html
Pape Sow,2005,2007,F,6-10,250,"November 22, 1981",https://www.basketball-reference.com/players/s/sowpa01.html
Ken Spain,1971,1971,C,6-9,225,"October 6, 1946",https://www.basketball-reference.com/players/s/spainke01.html
Ray Spalding,2019,2021,F,6-10,215,"March 11, 1997",https://www.basketball-reference.com/players/s/spaldra01.html
Jim Spanarkel,1980,1984,G-F,6-5,190,"June 28, 1957",https://www.basketball-reference.com/players/s/spanaji01.html
Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",https://www.basketball-reference.com/players/s/spanova01.html
Dan Sparks,1969,1970,F,6-8,200,"April 17, 1945",https://www.basketball-reference.com/players/s/sparkda01.html
Guy Sparrow,1958,1960,F,6-6,218,"November 2, 1932",https://www.basketball-reference.com/players/s/sparrgu01.html
Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",https://www.basketball-reference.com/players/s/sparrro01.html
Odie Spears,1949,1957,G,6-5,205,"June 17, 1924",https://www.basketball-reference.com/players/s/spearod01.html
Art Spector,1947,1950,F,6-4,200,"October 17, 1918",https://www.basketball-reference.com/players/s/spectar01.html
Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",https://www.basketball-reference.com/players/s/speigma01.html
Omari Spellman,2019,2020,F,6-8,245,"July 21, 1997",https://www.basketball-reference.com/players/s/spellom01.html
Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",https://www.basketball-reference.com/players/s/spencan01.html
Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969",https://www.basketball-reference.com/players/s/spencel01.html
Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",https://www.basketball-reference.com/players/s/spencfe01.html
Pat Spencer,2024,2024,G,6-3,205,"July 4, 1996",https://www.basketball-reference.com/players/s/spencpa01.html
Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",https://www.basketball-reference.com/players/s/spicelo01.html
Craig Spitzer,1968,1968,C,7-0,225,"December 18, 1945",https://www.basketball-reference.com/players/s/spitzcr01.html
Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",https://www.basketball-reference.com/players/s/splitti01.html
Art Spoelstra,1955,1958,C,6-9,220,"September 11, 1932",https://www.basketball-reference.com/players/s/spoelar01.html
Bruce Spraggins,1968,1968,F,6-5,188,"August 31, 1939",https://www.basketball-reference.com/players/s/spragbr01.html
Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970",https://www.basketball-reference.com/players/s/sprewla01.html
Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",https://www.basketball-reference.com/players/s/sprigla01.html
Jaden Springer,2022,2024,G,6-4,204,"September 25, 2002",https://www.basketball-reference.com/players/s/sprinja01.html
Jim Springer,1949,1949,C,6-9,235,"June 17, 1926",https://www.basketball-reference.com/players/s/sprinji01.html
Jim Spruill,1949,1949,G,6-2,225,"February 26, 1923",https://www.basketball-reference.com/players/s/spruiji01.html
Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",https://www.basketball-reference.com/players/s/stackry01.html
Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",https://www.basketball-reference.com/players/s/stackje01.html
Kevin Stacom,1975,1982,G,6-3,185,"September 4, 1951",https://www.basketball-reference.com/players/s/stacoke01.html
Erv Staggs,1970,1970,F-G,6-6,195,"September 1, 1948",https://www.basketball-reference.com/players/s/stagger01.html
Bud Stallworth,1973,1977,F-G,6-5,190,"January 18, 1950",https://www.basketball-reference.com/players/s/stallbu01.html
Dave Stallworth,1966,1975,F-C,6-7,200,"December 20, 1941",https://www.basketball-reference.com/players/s/stallda01.html
Ed Stanczak,1950,1951,F,6-1,185,"August 15, 1921",https://www.basketball-reference.com/players/s/stanced01.html
Cassius Stanley,2021,2022,G,6-5,190,"August 18, 1999",https://www.basketball-reference.com/players/s/stanlca01.html
Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",https://www.basketball-reference.com/players/s/stanste01.html
John Starks,1989,2002,G,6-5,180,"August 10, 1965",https://www.basketball-reference.com/players/s/starkjo01.html
Keith Starr,1977,1977,G-F,6-6,190,"March 14, 1954",https://www.basketball-reference.com/players/s/starrke01.html
Nik Stauskas,2015,2022,G,6-6,205,"October 7, 1993",https://www.basketball-reference.com/players/s/stausni01.html
